,Kingdom,Phylum,Class,Order,Family,Genus,Species
488fd02df8091b35b5b66c62d2744876,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Paludibacteraceae, g__RF16, s__RF16 sp002452095
4604d5ecf39f20740b681599bd5ff262,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Roseburia, g__Roseburia
df14354ec277348c54d0c9dd49eb4da0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruminiclostridium_E, s__Ruminiclostridium_E siraeum
0420fc6519192e24fe4ece3031a486a4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
3af594779948e4496dcd6ec3478d22cf,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Eubacterium_I, g__Eubacterium_I
d6d1c20491ad100773614f33298112b8,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, f__CAG-508, f__CAG-508
b440b0ab906463c85a2566f399649740,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Dialisteraceae, g__Dialister, s__Dialister hominis
b111bcb6e5e9a75fb9e2eee7756245c8,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Coprobacillaceae, g__Catenibacterium, g__Catenibacterium
5c8417eb453957047cf3d5b7c78b29e3,d__Bacteria, p__Cyanobacteria, c__Vampirovibrionia, o__Gastranaerophilales, f__Gastranaerophilaceae, g__Stercorousia, s__Stercorousia sp001765415
181b024e0406aaefdd91d12aa4ec4215,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales_595427, f__Burkholderiaceae_A_595427, g__Duodenibacillus, s__Duodenibacillus intestinigallinarum
57f251bf361e4dfdfff4a480f6f6daab,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Clostridium_Q_135822, s__Clostridium_Q_135822 fessum
b9ad8f647310c65db55e13be6eb993be,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, f__UBA1242, f__UBA1242
bfeb68c9757396100953b3ac69b4b18d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp900546395
b5745027d11858d520eef67332636a94,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
eb5ee38130ff51ba69e605edf961afe7,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Clostridiales, f__Clostridiaceae_222000, f__Clostridiaceae_222000, f__Clostridiaceae_222000
1a31fbd8342cbd9dc6080138eb9f81ef,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Butyribacter, g__Butyribacter
46944b1c94a058a17d7aaca40af58009,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp004792655
ccb75325b39b2d0c44cbbe72c8fdf7b4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
53f7ec1598f5b90a811f84399b8d874f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
1e7e288d6907f9797431eaa453471556,d__Bacteria, p__Campylobacterota, c__Campylobacteria, o__Campylobacterales, f__Campylobacteraceae, g__Campylobacter_D, g__Campylobacter_D
b0b24b383b2d7d47b8858b31c76b40ee,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, s__Faecousia sp000434635
9a6ec670294b423a72e340454d535f3a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Limivicinus, s__Limivicinus sp002320035
cf90284393251233c13b84923c6f5088,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, s__RUG13077 sp902785485
8e1eacc078b5b4c205f63fd18f2b24df,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
90c82dbf82d65d3e89f07ec5fac1d549,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, f__UBA932, f__UBA932
7fef731efd9a0f2f9b190f3e81275e5a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
d76566db45f23a2852b3f7b536f37630,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
49085a7fd9825bc8f98d3062353ef130,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
7c9483cfa8c4f1c8d3f2d6f2cc1ddb8f,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
a5ea429a7ef008cd0f00809ed09c749f,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
faa07629cd6344fa444565e1d6a5a664,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
c7ff1b024afa565fa121277d69be7843,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__UBA7173, s__UBA7173 sp900540205
6466ba5f3aeec29013d541e61bbbb698,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
c54ecd701d322d197b9000b235740969,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruthenibacterium, g__Ruthenibacterium
805c83149c1417fbb3f881167035e4d7,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Coprococcus_A_121497, s__Coprococcus_A_121497 eutactus
ca3f331c77a72371725b5b77bc2401fe,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-977, g__UBA2903, g__UBA2903
2102f51f3591341a5e15fb5958ee321c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, f__Anaerovoracaceae, f__Anaerovoracaceae
d084475ce17d67557615ecfb105797ab,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__RUG13077, g__RUG13077
b327b98786afa6d24215fda7278b28c3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella pectinovora
687ba042af54dfec138481b9bdc3370a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp900544195
b77870aaf82c008de93fb5a0fa292ef6,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__Sodaliphilus, g__Sodaliphilus
5a50722683ef28c01410df9859095b71,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruminiclostridium_E, s__Ruminiclostridium_E siraeum
4e864aae4a19af2e389d18ac07f17fb9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__P3, f__P3, f__P3
ce165f53919ff20a670ca93682e98392,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Paludicola, s__Paludicola psychrotolerans
c6a9f29338eb6095285ec20a6df5495a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter_865974, s__Odoribacter splanchnicus
6db169339ee5897780e713c44784d74a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-273, g__CAG-273
98cef7ff766ecb39b37d97ec9d39ac1f,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__UBA3402, s__UBA3402 sp003478355
52764cedecfcba69009fd96917a7a5e2,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Acetatifactor, s__Acetatifactor sp900066565
eac943aa608aca6d68b7c85bfde7a23c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruminococcus_C_58660, g__Ruminococcus_C_58660
1ce13e1d2118a77fada730afce340af3,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
e97725fbbcadfed36a81eb5e5a120067,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Ventrisoma, g__Ventrisoma
9a1330f3427272c943c47558a7788b10,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Limivicinus, s__Limivicinus sp002320035
575231ae31d5c34f26fdc1267a26f5a9,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Coprococcus_A_121497, s__Coprococcus_A_121497 sp000154245
7d2402f1612fe6c2f5c20bfda4a90aa0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Porcincola, g__Porcincola
acf09e78b337fd51b09606fabf09493e,d__Bacteria, p__Firmicutes_B_370539, c__Peptococcia, o__Peptococcales, f__Peptococcaceae_369362, g__Peptococcus, s__Peptococcus niger
c460ff4b7369e5f55e9f45dfb0b96d4d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Limivicinus, s__Limivicinus sp002320035
44e78430c46aab5b8b0837a181b29889,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Ligilactobacillus, s__Ligilactobacillus ruminis
b99742326bb548baccadc954740a4a61,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Bacteroides_F, s__Bacteroides_F pectinophilus
421cb5162c8efbe6630e9d62fc3ffaff,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales_993521, f__Fusobacteriaceae_993521, g__Fusobacterium_A, g__Fusobacterium_A
5050bcdda95dede0595dc33c6d1ba0fc,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__UMGS1071, g__UMGS1071
68c9daded68cb9c21601db603639e39a,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Dialisteraceae, g__UBA1822, s__UBA1822 sp900545365
0da4378b4f7659538b149347ce58d297,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-533, s__CAG-533 sp000434495
7006357095f63a56df10c22df7e90d44,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-977, g__UBA2903, g__UBA2903
e18682f0ca288820dbe6b91bcbb3da9e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
fb5b7cbfa58127bfd3759945c1329f89,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
a7cd642029018c581d3b27dd63bd0993,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
c401c2dcbb1916cc8bcd9ee53997e9c3,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Gemmiger_A_73276, s__Gemmiger_A_73276 avium
b2fe38967944ec2d294b1d4165aabe22,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__CAG-632, g__CAG-632
b5d263d6ba68a3a2ee2bdfd75f7e224e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
a9b5f1694902bccfa158bd42b7d9024a,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Selenomonadales, f__Selenomonadaceae_42771, g__Anaerovibrio, g__Anaerovibrio
ae33ad4af35b6add1afffa0e9f723f9c,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Pasteurellaceae, g__Haemophilus_D_735815, g__Haemophilus_D_735815
636662482cd35ffe19881dbcc0daa9e4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, f__CAG-508, f__CAG-508
29c4cf025403f151eadff28da1aa47e0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Lawsonibacter, s__Lawsonibacter sp000177015
dba5ec0eede793759de837f9538cc9bd,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
adb1cda5ba760f76bb84177f7c99b377,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter_865974, s__Odoribacter splanchnicus
768497e3f9eba1daea18eeaa59a66ac7,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Succinivibrionaceae, g__Succinivibrio, s__Succinivibrio hippei_B
553c7948f3b9df823eb8785ad8d22710,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Dorea_A, s__Dorea_A longicatena
22c159771ea409e7a5cf617dae2ec8f0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
b1976ad209ba4919c09c0bc519fd3277,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Dialisteraceae, g__Dialister, g__Dialister
eca5041c84391218c37396f54e6a541a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, f__UBA1242, f__UBA1242
4f2aab67bf614bff5d544b0130ea2782,d__Bacteria, p__Firmicutes_B_370539, c__Peptococcia, o__Peptococcales, f__Peptococcaceae_369362, g__Peptococcus, s__Peptococcus niger
6a450a73cb6490377dfbf36ffd5bf246,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__Borkfalkiaceae, g__UBA1259, g__UBA1259
3916a456bb0a3bfd02c15fd537ff5923,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Megasphaeraceae, g__Anaeroglobus, s__Anaeroglobus micronuciformis
ece43779f5484068c1aefddb65c35284,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales_595427, f__Burkholderiaceae_A_595427, g__Sutterella, g__Sutterella
6e6499c53ae9521f001dd8aca5fe8378,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
e5700ad304c7b6e3a222508303eb7715,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, g__Prevotella
3219af75ee8056ed06ba81e873b0d0cb,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__ER4, s__ER4 sp900317525
eafd20ce1f25fbd8c737f0086f81c11b,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Veillonellaceae, g__Veillonella_A, g__Veillonella_A
2b4692c7243ba0863083a880d0ec5324,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
ce732b3d6032b4d3954c49080377466c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, g__Prevotella
0e9cc773811ab7907d2fb5873d462242,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__Avispirillum, s__Avispirillum sp011957885
286411d89a1e8e7f3107bb7f12cd88b1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
8ce62d0f068f4ee5d2c4b90068804af0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Lawsonibacter, s__Lawsonibacter sp000177015
577c99cb9379b25916ec75066cb2148d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Clostridiales, f__Clostridiaceae_222000, g__Clostridium_T, g__Clostridium_T
76047d2fdd2506bc37b5d17d3c2f6aaa,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
2f0968b6355adf46b5622cad1ac7d5d4,d__Bacteria, p__Verrucomicrobiota, c__Kiritimatiellae_777934, o__RFP12, f__UBA1067, g__Spyradenecus, s__Spyradenecus sp004555175
1aeb045d7f13560a890605a8eed1b263,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
708b000c48dbefb1454b79108d2a1f70,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Enterocloster, g__Enterocloster
b488e41d01ff927a6f3c2a7c723fe47e,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-239, f__CAG-239, f__CAG-239
58cccff6030b89771228c0094365c0c6,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__Onthocola_B, s__Onthocola_B sp000437355
5f14cc57ee9505490453bb14d0d2ee1a,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Dialisteraceae, f__Dialisteraceae, f__Dialisteraceae
66ab743b7b53a20c3869213a4c7c0b68,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Phocea, s__Phocea massiliensis
4b6be8a1de96559624f76514b0dbb0db,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Ruthenibacterium, g__Ruthenibacterium
e8672dfefa6a4f0f1a5a6134431f61b4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Lacrimispora, g__Lacrimispora
d7c9c7768215faada2d5362efdd13e92,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, f__CAG-508, f__CAG-508
7c84bbe18be32ec092ec217dfe0ee379,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__UMGS1449, g__UMGS1449
ff5bfd73f46c32604d0566f486ebfa54,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Roseburia, s__Roseburia sp001940165
0ac4820d19fc4dfbe62663def78c840d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, o__Christensenellales, o__Christensenellales, o__Christensenellales
12b7a870ed9e614db4730fb78fa3f154,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, g__Streptococcus
d9164daa12549bd1a68f399ff48e2fd8,d__Archaea, p__Methanobacteriota_A_1229, c__Methanobacteria, o__Methanobacteriales, f__Methanobacteriaceae, g__Methanobrevibacter_A, s__Methanobrevibacter_A smithii_A_1174
be45154d1a0f4a01fa155cb9004368a9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp902792815
0dcaeeb2fcf074a5ce4de65e566bfd10,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-74, g__SFMI01, g__SFMI01
bb09b43319ef4541ccbb9fbd580d24b4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__UBA1381, f__UBA1381, g__CAG-41, s__CAG-41 sp001941225
6fa6bd3554333f19d282a89629ecec45,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Clostridiales, f__Clostridiaceae_222000, g__Clostridium_T, s__Clostridium_T saccharobutylicum
fbd47bcedad25f5e19bae8d82a8ccc45,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-74, g__Onthenecus, g__Onthenecus
e5bd5a5c7c1fe29892ebff584483a1c4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, g__Faecousia
7802aa607585d9ece9a0a50b3904f036,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Onthomonas, g__Onthomonas
e5c172830cf0792a9a49ad9161cd63f2,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, s__Faecousia sp000434635
2c15d156529e2ca4f1664fb9bbf387f9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
086389505c2426b2740328c6a595cfd1,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Anaerobutyricum, g__Anaerobutyricum
02f2bdd2b8661ed31b7e59ab66a682fe,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-977, g__UBA2903, s__UBA2903 sp002438565
cef0439b990f32ddf8a586e991cbf464,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Succinivibrionaceae, g__Succinivibrio, s__Succinivibrio sp000431835
ae3d32d31dfcb16f2cfd92e27f2e8638,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
26ac544e91c86d603912781ff72e3b25,d__Bacteria, p__Spirochaetota, c__Spirochaetia, o__Treponematales, f__Treponemataceae, g__Treponema_D, s__Treponema_D succinifaciens
1e1b2586e70cc04231516d1d7ef6a017,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae, g__Enorma, s__Enorma massiliensis
8b875da943c4622f8774da5e9a1afb5c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, g__UMGS2069, g__UMGS2069
fff3e1da0bfc53098e0958a41211c26b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
5f1f37c2dacd5bd4e5b4f3a68caf7f2b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes_A_871400, g__Alistipes_A_871400
18a18dd94312583c9c9b4a6998e4b265,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella hominis
813434cebae171e302567765c864c7ff,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__Lactobacillus helveticus
2903db4ba76d0156f08ee2cfa0d9aabc,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Acholeplasmatales, f__Anaeroplasmataceae, g__Anaeroplasma, s__Anaeroplasma abactoclasticum
25bf7b31746631bbb8582ebe892fe837,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
f4644d87087071a8aa5aecc7be0f1cfc,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
228e4b0b79bea1a2c795f6c18c145b56,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella rava
d0554ebe76a0acf6929df8ba65d10ec7,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__RUG762, g__RUG762
bb1c4e6510645deb0209e88b75d62ee0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__Borkfalkiaceae, g__UBA1259, g__UBA1259
0e318443d382d802333261212835f12f,d__Bacteria, p__Synergistota, c__Synergistia, o__Synergistales, f__Dethiosulfovibrionaceae, f__Dethiosulfovibrionaceae, f__Dethiosulfovibrionaceae
5698f3a3866d5241df1dab49197669f8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
181ea6c4ca2527f5804c77ffdf220f33,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Dialisteraceae, g__Dialister, s__Dialister hominis
4fbeb6cd226167147318ebcb6317c797,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Blautia_A_141781, s__Blautia_A_141781 faecis
2bd9309f2f97cae51d18d06ea1ca519a,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Aerococcaceae, g__Granulicatella, g__Granulicatella
cc2d97c0d8e0b1881250de6b32098401,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Acetatifactor, s__Acetatifactor sp900066565
15e1f081367a2114926a32d2fc3ed111,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__UBA1242, g__UBA11490, s__UBA11490 sp003524095
28ceb39dedac41864ed4ced9e3853353,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
04aef89c08e79065d88140c0fa857805,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__RUG13038, g__RUG13038
eeba84ddcf6038330cb56f19cc411f26,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes_A_871400, g__Alistipes_A_871400
40aa8399db027764b9bd5bbd53a145d3,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria
100d3a305b70803826ad6e7951c180f3,d__Bacteria, p__Verrucomicrobiota, c__Lentisphaeria, o__Victivallales, f__UBA1829, g__UBA11452, g__UBA11452
e1c6689e742524bcd86c32f9df199bfd,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Limivicinus, s__Limivicinus sp002320035
